mediaID,materialEntityID,mediaSubjectCategory,mediaSubjectCategoryIRI,mediaSubjectCategoryVocabulary
113288_manifest,B 10 0356094,Herbarium Specimen,,
316194,B 10 0356094,Herbarium Specimen,,
241414_manifest,B 10 0479552,Herbarium Specimen,,
242553_manifest,B 10 0479552,Herbarium Specimen,,
1034092,B 10 1088912,Herbarium Specimen,,
43758_manifest,B 10 0242900,Herbarium Specimen,,
991607678_manifest,B 10 1088912,Herbarium Specimen,,
459709,B 10 0479552,Herbarium Specimen,,
251471,B 10 0242900,Herbarium Specimen,,
459710,B 10 0479552,Herbarium Specimen,,
