identification_id	identification_based_on_occurrence_id	identification_based_on_material_entity_id	identification_based_on_genetic_sequence_id	identification_based_on_media_id	identification_type	identification_type_iri	identification_type_vocabulary	verbatim_identification	is_accepted_identification	taxon_formula	type_status	type_designation_type	identified_by	identified_by_id	date_identified	identification_references	identification_verification_status	identification_verification_status_iri	identificationverificationstatusvocabulary	identification_remarks	taxon_id	kingdom	scientific_name	taxon_rank	taxon_remarks
1608579710		B 10 0356094							t	A			Th. Raus		2009								Lunaria rediviva L.	species	
1608525325		B 10 0242900							f	A	type												Draba orbiculata Rose	species	
1609077316		B 10 0479552							t	A			G. Mansion										Campanula asperuloides subsp. taygetea (Quézel & Contandr.) Greuter & Burdet	subspecies	
1608607033		B 10 0242900							t	A													Draba nivicola Rose	species	
1608763793		B 10 0242900							f	A			O. E. Schulz		1923								Draba nivicola var. orbiculata O.E.Schulz	variety	
1609154861		B 10 0479552							f	A			G. Mansion										Campanula asperuloides subsp. taygetea (Quézel & Contandr.) Greuter & Burdet	subspecies	
1608442019		B 10 0479552							f	A			G. Mansion										Campanula asperuloides subsp. taygetea (Quézel & Contandr.) Greuter & Burdet	subspecies	
1608444764		B 10 0356094							f	A			Th. Raus		2009								Lunaria rediviva L.	species	
1608552075		B 10 1088912							t	A			E.Willing										Valerianella coronata (L.) DC.	species	
