occurrenceID,assertionType,assertionTypeIRI,assertionValue,assertionValueIRI
5515851_5642_start,sex,http://vocab.nerc.ac.uk/collection/P01/current/ENTSEX01/,unknown,https://vocab.nerc.ac.uk/collection/S10/current/S105/
5515851_5642_start,life stage,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,adult,http://vocab.nerc.ac.uk/collection/S11/current/S1116/
5515867_5635_start,sex,http://vocab.nerc.ac.uk/collection/P01/current/ENTSEX01/,unknown,https://vocab.nerc.ac.uk/collection/S10/current/S105/
5515867_5635_start,life stage,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,adult,http://vocab.nerc.ac.uk/collection/S11/current/S1116/
5515867_5750_start,sex,http://vocab.nerc.ac.uk/collection/P01/current/ENTSEX01/,unknown,https://vocab.nerc.ac.uk/collection/S10/current/S105/
5515867_5750_start,life stage,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,adult,http://vocab.nerc.ac.uk/collection/S11/current/S1116/
5515868_5644_start,sex,http://vocab.nerc.ac.uk/collection/P01/current/ENTSEX01/,unknown,https://vocab.nerc.ac.uk/collection/S10/current/S105/
5515868_5644_start,life stage,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,adult,http://vocab.nerc.ac.uk/collection/S11/current/S1116/
5515869_5628_start,sex,http://vocab.nerc.ac.uk/collection/P01/current/ENTSEX01/,unknown,https://vocab.nerc.ac.uk/collection/S10/current/S105/
5515869_5628_start,life stage,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,adult,http://vocab.nerc.ac.uk/collection/S11/current/S1116/
5515878_5821_start,sex,http://vocab.nerc.ac.uk/collection/P01/current/ENTSEX01/,unknown,https://vocab.nerc.ac.uk/collection/S10/current/S105/
5515878_5821_start,life stage,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,adult,http://vocab.nerc.ac.uk/collection/S11/current/S1116/
5515879_5822_start,sex,http://vocab.nerc.ac.uk/collection/P01/current/ENTSEX01/,unknown,https://vocab.nerc.ac.uk/collection/S10/current/S105/
5515879_5822_start,life stage,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,adult,http://vocab.nerc.ac.uk/collection/S11/current/S1116/
