"uid","domainID","siteID","namedLocation","aquaticSiteType","decimalLatitude","decimalLongitude","coordinateUncertainty","elevation","elevationUncertainty","geodeticDatum","startDate","endDate","reachID","samplingProtocolVersion","samplingImpractical","reachCondition","measuredReachLength","fixedRandomReach","identifiedBy","aCollectedBy","bCollectedBy","cCollectedBy","remarks","publicationDate","release"
"83eeea3d-2e0f-43e1-bdb6-fc69693ed6b2","D17","BIGC","BIGC.AOS.fish.point.01","stream",37.057599,-119.255367,0.3,1131.2,0.4,"WGS84",2019-04-22,2019-04-22,"BIGC.20190422.01","NEON.DOC.001295vD",NA,"normal flow",105,"fixed","0000-0001-7072-0706","0000-0002-6721-6581","0000-0001-5717-3867","0000-0003-2386-8235",NA,"20231227T174945Z","RELEASE-2024"
"44f9d6bb-16d9-43ef-b754-48e387c6bfb1","D17","BIGC","BIGC.AOS.fish.point.04","stream",37.059224,-119.257139,0.2,1140,0.3,"WGS84",2019-04-23,2019-04-23,"BIGC.20190423.04","NEON.DOC.001295vD",NA,"normal flow",100,"fixed","0000-0001-7072-0706","0000-0002-6721-6581","0000-0001-5717-3867","0000-0003-2386-8235",NA,"20231227T174945Z","RELEASE-2024"
"6e8906e9-e87b-4685-8715-c173d49b1491","D17","BIGC","BIGC.AOS.fish.point.07","stream",37.06096,-119.258115,0.3,1132.3,0.5,"WGS84",2019-04-24,2019-04-24,"BIGC.20190424.07","NEON.DOC.001295vD",NA,"normal flow",90,"fixed","0000-0001-7072-0706","0000-0002-6721-6581","0000-0003-3756-1381","0000-0003-2386-8235",NA,"20231227T174945Z","RELEASE-2024"
"5a53405f-b16f-40ab-9f48-bc7fdef1948c","D17","BIGC","BIGC.AOS.fish.point.05","stream",37.059885,-119.257882,0.2,1133.6,0.3,"WGS84",2019-04-24,2019-04-24,"BIGC.20190424.05","NEON.DOC.001295vF",NA,"normal flow",100,"random","0000-0003-3756-1381","0000-0003-2386-8235","0000-0002-6721-6581","0000-0002-7776-2789",NA,"20231227T174945Z","RELEASE-2024"
"48f21b94-aeda-48b5-9528-c3b2226abb5a","D17","BIGC","BIGC.AOS.fish.point.09","stream",37.062076,-119.258599,0.2,1137.6,0.3,"WGS84",2019-04-25,2019-04-25,"BIGC.20190425.09","NEON.DOC.001295vD",NA,"normal flow",100,"random","0000-0001-7072-0706","0000-0002-6721-6581","0000-0003-3756-1381","0000-0003-2386-8235",NA,"20231227T174945Z","RELEASE-2024"
"88ba1fe6-f3ae-408a-a2bc-c65caf26d845","D17","BIGC","BIGC.AOS.fish.point.08","stream",37.061544,-119.258321,0.3,1133.8,0.4,"WGS84",2019-04-25,2019-04-25,"BIGC.20190425.08","NEON.DOC.001295vD",NA,"heavy vegetation",100,"random","0000-0001-7072-0706","0000-0002-6721-6581","0000-0003-3756-1381","0000-0003-2386-8235","Heavy veg in first 25 m","20231227T174945Z","RELEASE-2024"
"9e522cfc-64d7-4773-8600-3ca433749a7c","D17","BIGC","BIGC.AOS.fish.point.01","stream",37.057599,-119.255367,0.3,1131.2,0.4,"WGS84",2019-10-21,2019-10-21,"BIGC.20191021.01","NEON.DOC.001295vD",NA,"normal flow",102,"fixed","0000-0001-7072-0706","0000-0002-5454-7533","0000-0001-7332-328X","0000-0003-2386-8235",NA,"20231227T191439Z","RELEASE-2024"
"0d8a9135-ea2c-48ce-8dcb-60b490d1f2b7","D17","BIGC","BIGC.AOS.fish.point.04","stream",37.059224,-119.257139,0.2,1140,0.3,"WGS84",2019-10-22,2019-10-22,"BIGC.20191022.04","NEON.DOC.001295vD",NA,"normal flow",102,"fixed","0000-0001-7072-0706","0000-0002-5454-7533","0000-0001-7332-328X","0000-0003-2386-8235",NA,"20231227T191439Z","RELEASE-2024"
"373273dc-361f-4032-9103-69085b699a91","D17","BIGC","BIGC.AOS.fish.point.07","stream",37.06096,-119.258115,0.3,1132.3,0.5,"WGS84",2019-10-23,2019-10-23,"BIGC.20191023.07","NEON.DOC.001295vD",NA,NA,100,"fixed","0000-0001-7072-0706","0000-0002-5454-7533","0000-0001-7332-328X",NA,NA,"20231227T191439Z","RELEASE-2024"
"4c0da7b9-a79d-465d-b023-3c2523201525","D17","BIGC","BIGC.AOS.fish.point.05","stream",37.059885,-119.257882,0.2,1133.6,0.3,"WGS84",2019-10-23,2019-10-23,"BIGC.20191023.05","NEON.DOC.001295vD",NA,"normal flow",100,"random","0000-0001-7072-0706","0000-0002-5454-7533","0000-0001-7332-328X",NA,NA,"20231227T191439Z","RELEASE-2024"
"87af43b6-ddec-412e-938e-58f5c88aa7f9","D17","BIGC","BIGC.AOS.fish.point.09","stream",37.062076,-119.258599,0.2,1137.6,0.3,"WGS84",2019-10-24,2019-10-24,"BIGC.20191024.09","NEON.DOC.001295vD",NA,NA,100,"random","0000-0001-7072-0706","0000-0002-5454-7533","0000-0001-7332-328X",NA,NA,"20231227T191439Z","RELEASE-2024"
"f78b91ec-1550-48c5-acd1-2765c09732b0","D17","BIGC","BIGC.AOS.fish.point.08","stream",37.061544,-119.258321,0.3,1133.8,0.4,"WGS84",2019-10-24,2019-10-24,"BIGC.20191024.08","NEON.DOC.001295vD",NA,"normal flow",100,"random","0000-0001-7072-0706","0000-0002-5454-7533","0000-0001-7332-328X",NA,NA,"20231227T191439Z","RELEASE-2024"
